CAS,haz,SMILES
2028-63-9,1,CC(C#C)O
2051-78-7,1,CCCC(=O)OCC=C
106-31-0,1,CCCC(=O)OC(=O)CCC
540-18-1,1,CCCCCOC(=O)CCC
78-93-3,1,CCC(=O)C
96-29-7,1,CCC(=NO)C
106-98-9,1,CCC=C
107-01-7,1,C/C=C/C
6117-91-5,1,C/C=C/CO
78-94-4,1,CC(=O)C=C
627-63-4,1,C(=C/C(=O)Cl)\C(=O)Cl
109-75-1,1,C=CCC#N
4786-20-3,1,C/C=C/C#N
4170-30-3,1,C/C=C/C=O
3724-65-0,1,C/C=C/C(=O)O
623-43-8,1,C/C=C/C(=O)OC
623-70-1,1,CCOC(=O)/C=C/C
111-76-2,1,CCCCOCCO
630-60-4,1,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O
11005-63-3,1,C[C@@H]1C([C@@H](CC(O1)O[C@H]2CC[C@@]3([C@]4(CC[C@@]5([C@H](CC[C@]5([C@@]4(CC[C@@]3(C2)O)C)O)C6=CC(=O)OC6)C)C)C=O)OC)O[C@H]7C[C@H]([C@@H]([C@H]([C@@H]7O)O)O)CO
2571-22-4,1,CC(=C)[C@@H]1[C@@H]2[C@H]([C@]3([C@@]4(CO4)[C@H]5[C@@H]([C@]3([C@H]1C(=O)O2)O)O5)C)O
85535-84-8,1,C(CC(C(CCC(CCl)Cl)Cl)Cl)C(CCl)Cl
121-57-3,1,C1=CC(=CC=C1N)S(=O)(=O)O
100-20-9,1,C1=CC(=CC=C1C(=O)Cl)C(=O)Cl
98-59-9,1,CC1=CC=C(C=C1)S(=O)(=O)Cl
15191-25-0,1,C1=CC(=CC=C1N)N=C=S
29025-67-0,1,C1CO[Si]2(OCCN1CCO2)C3=CC=C(C=C3)Cl
106-54-7,1,C1=CC(=CC=C1S)Cl
39811-34-2,1,CC1CCC(C(C1)OO)C(C)C
104-40-5,1,CCCCCCCCCC1=CC=C(C=C1)O
1124-31-8,1,C1=CC=C(C(=C1)[N+](=O)[O-])[O-].[K+]
824-78-2,1,C1=CC(=CC=C1[N+](=O)[O-])[O-].[Na+]
138-42-1,1,C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)O
636-97-5,1,C1=CC(=CC=C1C(=O)NN)[N+](=O)[O-]
100-12-9,1,CCC1=CC=C(C=C1)[N+](=O)[O-]
99-89-8,1,CC(C)C1=CC=C(C=C1)O
12207-63-5,1,[NH4+].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[V].[V].[V]
30525-89-4,1,C=O
8017-16-1,1,OP(=O)(O)O.O1OP2OOP1O2
61788-33-8,1,C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3
83-32-9,1,C1CC2=CC=CC3=C2C1=CC=C3
2407-94-5,1,C1CCC(CC1)(O)OOC2(CCCCC2)O
41935-39-1,1,C1=CC=C(C=C1)OCCOC(=O)OOC(=O)OCCOC2=CC=CC=C2
3034-79-5,1,CC1=CC=CC=C1C(=O)OOC(=O)C2=CC=CC=C2C
70-30-4,1,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl
298-07-7,1,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC
3851-87-4,1,CC(CC(=O)OOC(=O)CC(C)CC(C)(C)C)CC(C)(C)C
1705-60-8,1,CC(C)(C)OOC1(CCC(CC1)C(C)(C)C2CCC(CC2)(OOC(C)(C)C)OOC(C)(C)C)OOC(C)(C)C
895-85-2,1,CC1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=C(C=C2)C
15520-11-3,1,CC(C)(C)C1CCC(CC1)OC(=O)OOC(=O)OC2CCC(CC2)C(C)(C)C
80-51-3,1,C1=CC(=CC=C1OC2=CC=C(C=C2)S(=O)(=O)NN)S(=O)(=O)NN
36536-42-2,1,CC(C)(C)OOC(=O)OCCCCCCOC(=O)OOC(C)(C)C
542-88-1,1,C(OCCl)Cl
32315-10-9,1,C(=O)(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl
6731-36-8,1,CC1CC(CC(C1)(OOC(C)(C)C)OOC(C)(C)C)(C)C
4262-61-7,1,CC(C)(C)OOC(C)(C)OOC(C)(C)C
55794-20-2,1,CCOC(=O)CC(C)(OOC(C)(C)C)OOC(C)(C)C
2167-23-9,1,CCC(C)(OOC(C)(C)C)OOC(C)(C)C
3006-86-8,1,CC(C)(C)OOC1(CCCCC1)OOC(C)(C)C
67567-23-1,1,CCC(C)(C)OOC(C)(CC(=O)OCC)OOC(C)(C)CC
13653-62-8,1,CCC(C)(C)OOC(C)(CC)OOC(C)(C)CC
101-14-4,1,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N
56-18-8,1,C(CN)CNCCCN
95-80-7,1,CC1=C(C=C(C=C1)N)N
95-70-5,1,CC1=C(C=CC(=C1)N)N
823-40-5,1,CC1=C(C=CC=C1N)N
92-87-5,1,C1=CC(=CC=C1C2=CC=C(C=C2)N)N
7803-54-5,1,[NH2-].[NH2-].[Mg+2]
122-39-4,1,C1=CC=C(C=C1)NC2=CC=CC=C2
578-94-9,1,C1=CC=C2C(=C1)NC3=CC=CC=C3[As]2Cl
1666-13-3,1,C1=CC=C(C=C1)[Se][Se]C2=CC=CC=C2
587-85-9,1,C1=CC=C(C=C1)[Hg]C2=CC=CC=C2
26447-40-5,1,C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O
101-68-8,1,C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O
712-48-1,1,C1=CC=C(C=C1)[As](C2=CC=CC=C2)Cl
555-54-4,1,C1=CC=[C-]C=C1.C1=CC=[C-]C=C1.[Mg+2]
82-66-6,1,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O
776-74-9,1,C1=CC=C(C=C1)C(C2=CC=CC=C2)Br
530-50-7,1,C1=CC=C(C=C1)N(C2=CC=CC=C2)N
122-66-7,1,C1=CC=C(C=C1)NNC2=CC=CC=C2
18414-36-3,1,C1=CC=C(C=C1)C[Si](CC2=CC=CC=C2)(Cl)Cl
111-47-7,1,CCCSCCC
6380-34-3,1,C1=CC=C(C=C1)[As](I)I
7774-29-0,1,I[Hg]I
613-29-6,1,CCCCN(CCCC)C1=CC=CC=C1
